image_id,width,height,identity,split
154010.jpg,247,342,2820.0,train
056764.jpg,174,241,2820.0,train
130485.jpg,96,133,2820.0,train
067445.jpg,377,522,2820.0,train
018144.jpg,174,241,2820.0,train
018909.jpg,133,184,2820.0,train
081558.jpg,192,266,2820.0,train
087813.jpg,426,590,2820.0,train
034769.jpg,138,191,2820.0,train
001553.jpg,174,241,2820.0,train
008235.jpg,117,162,2820.0,train
062065.jpg,211,265,2820.0,train
008286.jpg,198,274,2820.0,train
043941.jpg,198,274,2820.0,train
034377.jpg,439,608,2820.0,train
115262.jpg,276,382,2820.0,train
002558.jpg,395,547,2820.0,train
003568.jpg,127,176,2820.0,train
137347.jpg,276,368,2820.0,train
005265.jpg,148,205,2820.0,train
148494.jpg,177,245,3745.0,train
068741.jpg,125,173,3745.0,train
130218.jpg,164,227,3745.0,train
084190.jpg,824,1141,3745.0,train
037428.jpg,169,234,3745.0,train
050708.jpg,491,680,3745.0,train
100589.jpg,107,148,3745.0,train
110382.jpg,62,86,3745.0,train
056544.jpg,148,205,3745.0,train
002279.jpg,148,205,3745.0,train
014730.jpg,91,126,3745.0,train
077977.jpg,117,162,3745.0,train
016690.jpg,140,194,3745.0,train
058902.jpg,224,310,3745.0,train
054312.jpg,117,162,3745.0,train
122016.jpg,166,230,3745.0,train
003647.jpg,569,788,3745.0,train
010999.jpg,146,202,3745.0,train
145722.jpg,114,158,3745.0,train
013645.jpg,125,173,3745.0,train
140742.jpg,156,216,8968.0,train
073142.jpg,161,223,8968.0,train
116974.jpg,192,266,8968.0,train
082528.jpg,143,198,8968.0,train
047987.jpg,263,364,8968.0,train
050894.jpg,112,155,8968.0,train
156364.jpg,164,227,8968.0,train
120566.jpg,135,187,8968.0,train
060483.jpg,107,148,8968.0,train
005950.jpg,182,252,8968.0,train
026052.jpg,179,248,8968.0,train
079337.jpg,218,302,8968.0,train
027584.jpg,164,227,8968.0,train
062607.jpg,198,274,8968.0,train
053221.jpg,156,216,8968.0,train
114573.jpg,122,169,8968.0,train
